date,ask_value,bid_value
2014-05-27,16.60,15.61
2014-05-26,16.67,15.65
2014-05-24,16.70,15.72
2014-05-23,16.68,15.70
2014-05-22,16.70,15.72
2014-05-21,16.75,15.75
2014-05-20,16.74,15.73
2014-05-19,16.71,15.66
2014-05-17,16.67,15.61
2014-05-16,16.66,15.59
2014-05-15,16.67,15.60
2014-05-14,16.57,15.46
2014-05-13,16.60,15.41
2014-05-12,16.64,15.35
2014-05-10,16.85,15.56
2014-05-09,16.85,15.56
2014-05-08,16.85,15.53
2014-05-07,16.87,15.62
2014-05-06,16.64,15.35
2014-05-05,16.57,15.09
2014-05-03,16.55,15.11
2014-05-02,16.55,15.11
2014-05-01,16.55,15.10
2014-04-30,16.52,15.13
2014-04-29,16.88,15.59
2014-04-28,16.66,15.35
2014-04-26,16.48,15.10
2014-04-25,16.44,15.05
2014-04-24,16.56,15.18
2014-04-23,16.59,15.08
2014-04-22,16.57,14.95
2014-04-21,16.39,14.73
2014-04-19,16.39,14.73
2014-04-18,16.38,14.70
2014-04-17,16.38,14.64
2014-04-16,17.37,15.50
2014-04-15,18.38,16.88
2014-04-14,18.75,17.08
2014-04-12,18.87,17.15
2014-04-11,18.79,17.11
2014-04-10,17.18,16.05
2014-04-09,16.51,15.61
2014-04-08,16.26,15.38
2014-04-07,16.11,15.16
2014-04-05,16.03,15.05
2014-04-04,15.84,14.88
2014-04-03,15.82,14.90
2014-04-02,16.09,15.06
2014-04-01,16.05,15.06
2014-03-31,15.84,14.81
2014-03-29,15.79,14.77
2014-03-28,15.79,14.77
2014-03-27,15.70,14.64
2014-03-26,15.35,14.35
2014-03-25,15.27,14.23
2014-03-24,15.17,14.04
2014-03-22,14.73,13.71
2014-03-21,14.72,13.72
2014-03-20,14.62,13.59
2014-03-19,14.75,13.68
2014-03-18,14.66,13.56
2014-03-17,14.51,13.32
2014-03-15,14.31,13.09
2014-03-14,14.29,13.08
2014-03-13,13.83,12.80
2014-03-12,13.44,12.54
2014-03-11,13.41,12.34
2014-03-10,13.68,12.53
2014-03-08,13.51,12.38
2014-03-07,13.51,12.37
2014-03-06,13.65,12.31
2014-03-05,13.98,12.39
2014-03-04,14.74,13.18
2014-03-03,14.71,12.94
2014-03-01,15.24,13.94
2014-02-28,15.29,14.09
2014-02-27,14.65,13.64
2014-02-26,13.83,13.05
2014-02-25,13.14,12.55
2014-02-24,12.89,12.34
2014-02-22,12.82,12.17
2014-02-21,12.78,12.16
2014-02-20,12.63,12.14
2014-02-19,12.48,12.05
2014-02-18,12.37,11.99
2014-02-17,12.31,11.91
2014-02-15,12.28,11.87
2014-02-14,12.27,11.87
2014-02-13,12.16,11.77
2014-02-12,12.06,11.67
2014-02-11,11.96,11.53
2014-02-10,12.13,11.63
2014-02-08,12.19,11.74
2014-02-07,12.22,11.79
2014-02-06,12.40,11.98
2014-02-05,12.22,11.81
2014-02-04,11.92,11.64
2014-02-03,11.81,11.52
2014-02-01,11.83,11.50
2014-01-31,11.82,11.51
2014-01-30,11.83,11.53
2014-01-29,11.84,11.54
2014-01-28,11.90,11.56
2014-01-27,11.82,11.53
2014-01-25,11.70,11.44
2014-01-24,11.67,11.42
2014-01-23,11.53,11.30
2014-01-22,11.50,11.28
2014-01-21,11.47,11.25
2014-01-20,11.44,11.21
2014-01-18,11.45,11.22
2014-01-17,11.45,11.23
2014-01-16,11.44,11.23
2014-01-15,11.46,11.24
2014-01-14,11.44,11.21
2014-01-13,11.42,11.19
2014-01-11,11.41,11.18
2014-01-10,11.35,11.13
2014-01-09,11.33,11.10
2014-01-08,11.38,11.11
2014-01-07,11.44,11.13
2014-01-06,11.44,11.13
2014-01-04,11.44,11.13
2014-01-03,11.44,11.15
2014-01-02,11.50,11.20
2014-01-01,11.50,11.20
2013-12-31,11.50,11.20
2013-12-30,11.49,11.21
2013-12-28,11.45,11.18
2013-12-27,11.44,11.17
2013-12-26,11.34,11.11
2013-12-25,11.34,11.10
2013-12-24,11.40,11.18
2013-12-23,11.41,11.19
2013-12-21,11.43,11.21
2013-12-20,11.43,11.21
2013-12-19,11.48,11.27
2013-12-18,11.54,11.34
2013-12-17,11.54,11.33
2013-12-16,11.53,11.31
2013-12-14,11.52,11.30
2013-12-13,11.52,11.30
2013-12-12,11.51,11.30
2013-12-11,11.47,11.25
2013-12-10,11.42,11.20
2013-12-09,11.44,11.22
2013-12-07,11.43,11.19
2013-12-06,11.43,11.19
2013-12-05,11.42,11.18
2013-12-04,11.35,11.14
2013-12-03,11.30,11.09
2013-12-02,11.31,11.12
2013-11-30,11.31,11.12
2013-11-29,11.31,11.12
2013-11-28,11.28,11.09
2013-11-27,11.26,11.07
2013-11-26,11.21,11.03
2013-11-25,11.21,11.03
2013-11-23,11.19,10.99
2013-11-22,11.18,10.98
2013-11-21,11.15,10.95
2013-11-20,11.21,11.03
2013-11-19,11.19,11.00
2013-11-18,11.18,10.98
2013-11-16,11.16,10.96
2013-11-15,11.16,10.96
2013-11-14,11.16,10.97
2013-11-13,11.15,10.96
2013-11-12,11.09,10.89
2013-11-11,11.08,10.88
2013-11-09,11.11,10.89
2013-11-08,11.11,10.90
2013-11-07,11.20,11.01
2013-11-06,11.18,10.99
2013-11-05,11.16,10.97
2013-11-04,11.16,10.97
2013-11-02,11.22,11.00
2013-11-01,11.22,11.01
2013-10-31,11.33,11.13
2013-10-30,11.34,11.15
2013-10-29,11.36,11.17
2013-10-28,11.38,11.18
2013-10-26,11.39,11.18
2013-10-25,11.38,11.17
2013-10-24,11.36,11.16
2013-10-23,11.36,11.16
2013-10-22,11.28,11.09
2013-10-21,11.29,11.09
2013-10-19,11.28,11.08
2013-10-18,11.28,11.08
2013-10-17,11.19,10.99
2013-10-16,11.17,10.97
2013-10-15,11.21,11.01
2013-10-14,11.20,11.00
2013-10-12,11.18,10.99
2013-10-11,11.18,10.98
2013-10-10,11.15,10.96
2013-10-09,11.22,11.02
2013-10-08,11.21,11.02
2013-10-07,11.23,11.03
2013-10-05,11.26,11.05
2013-10-04,11.26,11.06
2013-10-03,11.24,11.03
2013-10-02,11.18,10.99
2013-10-01,11.17,10.97
2013-09-30,11.15,10.95
2013-09-28,11.15,10.94
2013-09-27,11.15,10.94
2013-09-26,11.16,10.95
2013-09-25,11.12,10.92
2013-09-24,11.15,10.94
2013-09-23,11.17,10.96
2013-09-21,11.18,10.96
2013-09-20,11.17,10.97
2013-09-19,11.16,10.94
2013-09-18,11.02,10.83
2013-09-17,11.00,10.81
2013-09-16,11.00,10.81
2013-09-14,10.95,10.75
2013-09-13,10.94,10.75
2013-09-12,10.96,10.76
2013-09-11,10.92,10.72
2013-09-10,10.92,10.72
2013-09-09,10.85,10.66
2013-09-07,10.83,10.64
2013-09-06,10.83,10.64
2013-09-05,10.82,10.64
2013-09-04,10.80,10.62
2013-09-03,10.81,10.62
2013-09-02,10.82,10.64
2013-08-31,10.85,10.65
2013-08-30,10.85,10.66
2013-08-29,10.91,10.72
2013-08-28,10.95,10.76
2013-08-27,10.95,10.74
2013-08-26,10.93,10.73
2013-08-24,10.93,10.73
2013-08-23,10.93,10.73
2013-08-22,10.94,10.75
2013-08-21,10.98,10.79
2013-08-20,10.92,10.74
2013-08-19,10.90,10.71
2013-08-17,10.90,10.70
2013-08-16,10.89,10.70
2013-08-15,10.86,10.67
2013-08-14,10.85,10.66
2013-08-13,10.88,10.69
2013-08-12,10.90,10.72
2013-08-10,10.93,10.74
2013-08-09,10.93,10.74
2013-08-08,10.91,10.72
2013-08-07,10.86,10.69
2013-08-06,10.84,10.67
2013-08-05,10.86,10.68
2013-08-03,10.81,10.64
2013-08-02,10.81,10.63
2013-08-01,10.84,10.67
2013-07-31,10.83,10.66
2013-07-30,10.84,10.66
2013-07-29,10.85,10.67
2013-07-27,10.84,10.66
2013-07-26,10.85,10.65
2013-07-25,10.81,10.63
2013-07-24,10.81,10.61
2013-07-23,10.80,10.61
2013-07-22,10.78,10.57
2013-07-20,10.76,10.56
2013-07-19,10.76,10.56
2013-07-18,10.74,10.55
2013-07-17,10.76,10.57
2013-07-16,10.71,10.52
2013-07-15,10.72,10.52
2013-07-13,10.73,10.53
2013-07-12,10.73,10.53
2013-07-11,10.70,10.47
2013-07-10,10.51,10.32
2013-07-09,10.56,10.37
2013-07-08,10.53,10.34
2013-07-06,10.59,10.40
2013-07-05,10.59,10.40
2013-07-04,10.65,10.46
2013-07-03,10.65,10.46
2013-07-02,10.69,10.51
2013-07-01,10.69,10.48
2013-06-29,10.67,10.48
2013-06-28,10.67,10.48
2013-06-27,10.67,10.48
2013-06-26,10.72,10.52
2013-06-25,10.78,10.58
2013-06-24,10.86,10.67
2013-06-22,10.86,10.67
2013-06-21,10.86,10.67
2013-06-20,10.90,10.71
2013-06-19,10.97,10.77
2013-06-18,10.94,10.74
2013-06-17,10.93,10.72
2013-06-15,10.93,10.72
2013-06-14,10.93,10.72
2013-06-13,10.92,10.71
2013-06-12,10.89,10.69
2013-06-11,10.85,10.65
2013-06-10,10.81,10.61
2013-06-08,10.82,10.60
2013-06-07,10.82,10.60
2013-06-06,10.73,10.53
2013-06-05,10.70,10.50
2013-06-04,10.67,10.47
2013-06-03,10.65,10.44
2013-06-01,10.64,10.43
2013-05-31,10.66,10.45
2013-05-30,10.61,10.41
2013-05-29,10.56,10.36
2013-05-28,10.60,10.40
2013-05-27,10.60,10.39
2013-05-25,10.62,10.41
2013-05-24,10.62,10.41
2013-05-23,10.57,10.36
2013-05-22,10.57,10.38
2013-05-21,10.56,10.36
2013-05-20,10.53,10.33
2013-05-18,10.54,10.33
2013-05-17,10.56,10.36
2013-05-16,10.56,10.36
2013-05-15,10.60,10.40
2013-05-14,10.63,10.43
2013-05-13,10.65,10.41
2013-05-11,10.69,10.49
2013-05-10,10.69,10.49
2013-05-09,10.69,10.49
2013-05-08,10.69,10.49
2013-05-07,10.71,10.48
2013-05-06,10.71,10.52
2013-05-04,10.71,10.52
2013-05-03,10.71,10.52
2013-05-02,10.71,10.52
2013-05-01,10.71,10.52
2013-04-30,10.71,10.52
2013-04-29,10.66,10.47
2013-04-27,10.68,10.48
2013-04-26,10.68,10.48
2013-04-25,10.67,10.47
2013-04-24,10.66,10.47
2013-04-23,10.68,10.48
2013-04-22,10.71,10.51
2013-04-20,10.70,10.50
2013-04-19,10.70,10.50
2013-04-18,10.70,10.51
2013-04-17,10.76,10.56
2013-04-16,10.69,10.49
2013-04-15,10.71,10.50
2013-04-13,10.72,10.53
2013-04-12,10.72,10.53
2013-04-11,10.71,10.51
2013-04-10,10.70,10.51
2013-04-09,10.66,10.48
2013-04-08,10.62,10.43
2013-04-06,10.58,10.37
2013-04-05,10.58,10.37
2013-04-04,10.53,10.34
2013-04-03,10.51,10.32
2013-04-02,10.52,10.32
2013-04-01,10.49,10.29
2013-03-30,10.48,10.29
2013-03-29,10.48,10.29
2013-03-28,10.48,10.29
2013-03-27,10.54,10.36
2013-03-26,10.56,10.37
2013-03-25,10.65,10.44
2013-03-23,10.58,10.37
2013-03-22,10.58,10.37
2013-03-21,10.59,10.39
2013-03-20,10.57,10.37
2013-03-19,10.61,10.41
2013-03-18,10.62,10.42
2013-03-16,10.64,10.45
2013-03-15,10.64,10.45
2013-03-14,10.61,10.43
2013-03-13,10.66,10.48
2013-03-12,10.65,10.45
2013-03-11,10.65,10.45
2013-03-09,10.65,10.45
2013-03-08,10.65,10.45
2013-03-07,10.65,10.45
2013-03-06,10.70,10.51
2013-03-05,10.68,10.48
2013-03-04,10.67,10.47
2013-03-02,10.72,10.53
2013-03-01,10.72,10.53
2013-02-28,10.75,10.56
2013-02-27,10.71,10.51
2013-02-26,10.74,10.54
2013-02-25,10.81,10.60
2013-02-23,10.82,10.62
2013-02-22,10.82,10.62
2013-02-21,10.87,10.67
2013-02-20,10.94,10.75
2013-02-19,10.91,10.71
2013-02-18,10.90,10.69
2013-02-16,10.92,10.71
2013-02-15,10.92,10.71
2013-02-14,10.96,10.75
2013-02-13,10.98,10.77
2013-02-12,10.95,10.72
2013-02-11,10.95,10.73
2013-02-09,11.01,10.79
2013-02-08,11.01,10.79
2013-02-07,11.10,10.89
2013-02-06,11.12,10.90
2013-02-05,11.07,10.87
2013-02-04,11.15,10.94
2013-02-03,11.14,10.93
2013-02-02,10.95,10.95
2013-02-01,10.95,10.95
2013-01-31,10.80,10.80
2013-01-30,10.93,10.82
2013-01-29,10.95,10.82
2013-01-28,10.96,10.80
2013-01-26,10.93,10.76
2013-01-25,10.93,10.76
2013-01-24,10.90,10.74
2013-01-23,10.89,10.72
2013-01-22,10.90,10.74
2013-01-21,10.89,10.71
2013-01-19,10.94,10.75
2013-01-18,10.94,10.75
2013-01-17,10.86,10.69
2013-01-16,10.87,10.69
2013-01-15,10.92,10.73
2013-01-14,10.91,10.67
2013-01-12,10.82,10.56
2013-01-11,10.82,10.56
2013-01-10,10.65,10.44
2013-01-09,10.63,10.42
2013-01-08,10.64,10.39
2013-01-07,10.60,10.36
2013-01-05,10.60,10.36
2013-01-04,10.60,10.37
2013-01-03,10.73,10.45
2013-01-02,10.77,10.46
2013-01-01,10.76,10.46
2012-12-31,10.76,10.46
2012-12-29,10.76,10.47
2012-12-28,10.75,10.51
2012-12-27,10.70,10.50
2012-12-26,10.65,10.45
2012-12-25,10.68,10.47
2012-12-24,10.71,10.51
2012-12-22,10.75,10.56
2012-12-21,10.75,10.56
2012-12-20,10.77,10.57
2012-12-19,10.77,10.58
2012-12-18,10.72,10.54
2012-12-17,10.72,10.52
2012-12-15,10.69,10.50
2012-12-14,10.69,10.50
2012-12-13,10.68,10.48
2012-12-12,10.62,10.44
2012-12-11,10.61,10.41
2012-12-10,10.62,10.43
2012-12-08,10.69,10.50
2012-12-07,10.69,10.50
2012-12-06,10.75,10.56
2012-12-05,10.77,10.58
2012-12-04,10.72,10.53
2012-12-03,10.71,10.51
2012-12-01,10.70,10.50
2012-11-30,10.70,10.50
2012-11-29,10.65,10.45
2012-11-28,10.64,10.45
2012-11-27,10.67,10.48
2012-11-26,10.64,10.44
2012-11-24,10.62,10.42
2012-11-23,10.62,10.42
2012-11-22,10.59,10.39
2012-11-21,10.58,10.38
2012-11-20,10.61,10.40
2012-11-19,10.61,10.41
2012-11-17,10.63,10.41
2012-11-16,10.63,10.41
2012-11-15,10.64,10.43
2012-11-14,10.63,10.41
2012-11-13,10.53,10.32
2012-11-12,10.55,10.34
2012-11-10,10.57,10.36
2012-11-09,10.57,10.36
2012-11-08,10.57,10.36
2012-11-07,10.63,10.43
2012-11-06,10.60,10.40
2012-11-05,10.66,10.44
2012-11-03,10.69,10.48
2012-11-02,10.69,10.49
2012-11-01,10.72,10.53
2012-10-31,10.73,10.52
2012-10-30,10.70,10.49
2012-10-29,10.70,10.49
2012-10-27,10.71,10.51
2012-10-26,10.71,10.51
2012-10-25,10.74,10.53
